,Values
0,1.5475096968861242
1,1.259123650569019
2,0.12831709720086534
3,0.012411977738056527
4,2.2481262991313784
5,0.29621288195768325
6,1.7528857397831947
7,1.1290945282531017
8,3.751954402591832
9,0.8917383279409176
10,0.04812475007460314
11,1.190941495235246
12,1.3847573966201647
13,0.19834314610262072
14,0.4539527112892804
15,1.3132435190233065
16,1.0299146682599896
17,0.8300696299511572
18,0.4720074289662052
19,0.10454934823782532
20,2.7644614896042086
21,3.606064958876643
22,0.38470394674843256
23,2.555415493222884
24,2.815068748963739
25,0.7179011255645823
26,0.5842663579187881
27,1.4876347594847181
28,1.1278509378868091
29,0.8324702959001093
30,0.6821040092925877
31,4.302114956444422
32,1.6511988938726638
33,2.1447469047122216
34,0.05304536430658492
35,3.492840885305829
36,0.05311308797493414
37,1.8513464238343629
38,0.7082063549230987
39,0.031845816802109454
40,4.066520321208052
41,0.6527128267426698
42,0.17735331945909785
43,0.531572877684568
44,2.6025791190103353
45,0.09139478677475124
46,2.3192246072329525
47,3.704390001748686
48,4.714352163004161
49,4.368933379913903
50,0.29611795558305787
51,2.007417345907303
52,1.6266828829524576
53,1.1132657296313846
54,0.3007073990067125
55,0.9586223227506355
56,1.031897311281337
57,2.528054066607004
58,1.6913352576953746
59,0.8189522196697416
60,1.5778092289520198
61,1.6078281905428968
62,0.09491805367352296
63,1.1755066274041388
64,1.304677447609491
65,9.892500378452436
66,4.320511867581146
67,1.7944540181597877
68,3.27466760561315
69,0.05540208047783494
70,1.4067492873568062
71,1.0173464354793702
72,0.6592891865822851
73,3.3509045131154864
74,2.725352886208856
75,0.9240316210902948
76,1.9070655714152465
77,1.8551957882343983
78,1.3372082241746557
79,0.7193616778797652
80,1.7959581534356626
81,3.517695986033805
82,3.588705588778991
83,0.30878456442662267
84,2.245831835689326
85,0.20945053435650857
86,2.515998297961766
87,6.566830845277133
88,0.6233697981304445
89,0.3412918141236778
90,0.19164868950354927
91,0.5276603010425786
92,0.4941039973435123
93,0.38042721593389617
94,1.1379647830795934
95,0.8308332970925332
96,3.335685855603009
97,1.1247120388817886
98,1.5524957602693186
99,0.7580816031862018
