,Values
0,-0.26140370535497714
1,0.674465529456594
2,1.199006619270691
3,0.6707446831987965
4,0.17259018031985804
5,-1.100079042519609
6,2.195231656277767
7,0.5510303263985642
8,1.2609665083636878
9,-0.2817066086483786
10,-0.053436689783102016
11,1.7073266397638478
12,-0.17332333414794782
13,-0.06610963699188709
14,-1.4158000692431818
15,0.10413887494346163
16,-0.5061882739160055
17,3.770949374200536
18,-0.025471123323784192
19,-1.272504341354252
20,0.7384242982778024
21,0.2058526779794574
22,1.2326940681416174
23,0.571824030363047
24,0.6904352185673545
25,-2.1145662129819365
26,-1.2911119038541108
27,-1.5708435449401499
28,0.192338612500791
29,-0.2803028715013271
30,-1.2682536727702356
31,1.0344238095825893
32,1.5449614697097125
33,2.0240992668094933
34,-0.7035012924435267
35,-1.3829325233397136
36,-1.426636453869556
37,-0.8440400880119733
38,1.8565827172320106
39,-0.6870165407486853
40,1.382695436532822
41,0.591449760429834
42,-0.2633436514067763
43,-0.23701508862948237
44,-0.10269213647140327
45,0.6888320081690639
46,0.31676036924895196
47,0.10375931969732914
48,1.3714449714201677
49,0.05783865849601184
50,-1.8531056624716609
51,-0.6687369066899477
52,-0.5261309953201418
53,1.7749476960090886
54,-1.6787377140386446
55,-0.5026597937692723
56,-1.2844088449822464
57,2.3113455474924627
58,0.6296046198615275
59,0.9015972714779167
60,0.00454993951987519
61,-0.19348991146525407
62,1.9665050909044761
63,-1.5546442365455102
64,-0.40056951814646446
65,-0.6299237859984095
66,0.09163828696968154
67,-0.15637033462762756
68,0.12149319813378877
69,-0.4102627764297844
70,-0.5449748966664201
71,-0.7610934589886442
72,0.2145283319746021
73,0.24483126827625756
74,-0.901078824260053
75,-0.2897171343204963
76,0.28121743677027067
77,-0.3537024663086641
78,1.7146661950016364
79,1.0666522557786138
80,-0.5375417037780075
81,-0.5307379903934255
82,-0.12358848092795403
83,1.2755855334667205
84,0.6970724861828327
85,-0.11612119615335639
86,0.041001100234323386
87,-0.5082917383357459
88,-0.5797660012000004
89,0.5294992864338235
90,-0.2829730431627781
91,0.2748472629003029
92,-0.2861709539402205
93,-1.0196877395669952
94,1.3041006127841448
95,-0.5173193666786137
96,-0.01747837533659224
97,2.1858374060200236
98,1.566689655025073
99,-2.0404810062310528
