,Values
0,0.6178176473620463
1,0.7912481030518945
2,0.36777431855165343
3,1.5230837217131619
4,1.1580809936938505
5,0.2373591538415757
6,1.296865471245577
7,1.192286864506459
8,0.6022890374102259
9,1.19381665139659
10,1.6388206571572619
11,0.6033381674233027
12,1.8604230258865644
13,1.5185369970790945
14,1.1925803641598587
15,0.6950510617925922
16,0.5096350878708151
17,1.7883747360875046
18,0.7579406523024679
19,0.7582294179059947
20,1.454177430568317
21,0.7474890604375727
22,0.009563657276223991
23,0.2556989223309364
24,1.394828452103342
25,1.5515305584079389
26,1.1606373568364
27,1.4104192780669098
28,1.6802346136502506
29,1.111922843003799
30,2.004861354806782
31,0.8120164573486299
32,1.5393315418713538
33,0.5398434655610693
34,0.8844491568095957
35,0.9716188388775707
36,-0.3033047499388213
37,1.2548163386530313
38,0.9347292760324919
39,0.7174627640423497
40,1.2313921869579096
41,0.9098975309611567
42,1.1482680031844275
43,1.6541431581478432
44,0.7555025848546169
45,0.6711359550618623
46,0.7328062237090067
47,0.10261765380012977
48,1.7523662409083396
49,0.3795828345774036
50,1.208140114412806
51,0.5166234907279476
52,1.1358896541834105
53,0.9670922942803524
54,1.12298357268699
55,1.3921217073030459
56,1.4033680253627403
57,1.159350168814426
58,1.504586221477878
59,1.4205131826121669
60,-0.20998853983884747
61,0.394241700175353
62,0.6128054075584941
63,0.7207121158623293
64,0.8596146189989642
65,1.3822678421905366
66,0.3450119514976355
67,0.8688641539149364
68,0.6741438250885083
69,1.1080671235083335
70,1.1698553573915011
71,-0.23443791868846398
72,1.35043853102507
73,1.0442791755169303
74,0.43239287276118366
75,1.667112201694756
76,1.765408419197009
77,0.5115762207375751
78,1.0596111032322417
79,0.9582717560277652
80,0.9646131541983896
81,0.9890736432928957
82,1.8125351818903659
83,1.259821166815035
84,0.8954563353856133
85,1.3773289458109936
86,1.8044261650149478
87,0.510727611455126
88,1.1348403959284903
89,0.8951033820140926
90,1.1690865221575466
91,0.4146869546573788
92,0.87927596010822
93,0.7452283794076047
94,0.5504996631399646
95,1.6086829882602465
96,1.1269285948986534
97,1.4415523913749455
98,1.3077306055447548
99,0.2336923376343012
